college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
Hocking College,"Nelsonville, OH",2-year,Public,Small,Rural,Unknown,$12K,Unknown
Iowa Western Community College,"Council Bluffs, IA",2-year,Public,Unknown,Suburban,Unknown,$12K,Unknown
Professional Cosmetology Education Center,"El Dorado, AR",Less than 2-year,Unknown,Unknown,Rural,Unknown,$12K,Unknown
Minnesota West Community and Technical College,"Pipestone, MN",2-year,Public,Unknown,Rural,Unknown,$12K,Unknown
Northern Career Institute,"Eastlake, OH",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$12K,Unknown
Madison Area Technical College,"Madison, WI",4-year,Public,Unknown,Urban,Unknown,$12K,Unknown
DeVry University: Ontario,"Ontario, CA",4-year,Private,Small,Urban,10%,$33K,Unknown
Olympic College,"Bremerton, WA",4-year,Public,Unknown,Urban,Unknown,$12K,Unknown
University of Chicago,"Chicago, IL",4-year,Private,Medium,Urban,96%,$37K,1510-1560
San Francisco Conservatory of Music,"San Francisco, CA",4-year,Private,Unknown,Urban,63%,$46K,Unknown
Hays Academy of Hair Design,"Hays, KS",Less than 2-year,Unknown,Unknown,Rural,Unknown,$12K,Unknown
Manhattan Area Technical College,"Manhattan, KS",2-year,Public,Unknown,Suburban,Unknown,$12K,Unknown
Ocean County College,"Toms River, NJ",2-year,Public,Unknown,Suburban,Unknown,$12K,Unknown
South Mountain Community College,"Phoenix, AZ",2-year,Public,Unknown,Urban,Unknown,$12K,Unknown
Elyon College,"Brooklyn, NY",Unknown,Private,Unknown,Urban,Unknown,$12K,Unknown
Masters Barber And Styling College,"Old Hickory, TN",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$12K,Unknown
World Mission University,"Los Angeles, CA",4-year,Private,Unknown,Urban,33%,$19K,Unknown
Genesis Career College Cookeville,"Cookeville, TN",Less than 2-year,Unknown,Unknown,Rural,Unknown,$12K,Unknown
GateWay Community College Central City,"Phoenix, AZ",Less than 2-year,Unknown,Unknown,Urban,Unknown,$12K,Unknown
Xenon International Academy Omaha,"Omaha, NE",Unknown,Unknown,Unknown,Urban,Unknown,$12K,Unknown
Franklin Hair Academy School Of Cosmetology,"Franklin, TN",Less than 2-year,Unknown,Unknown,Urban,Unknown,$12K,Unknown
Baptist Bible College,"Springfield, MO",4-year,Private,Small,Urban,39%,$20K,Unknown
Iowa Lakes Community College,"Estherville, IA",2-year,Public,Unknown,Rural,Unknown,$12K,Unknown
St. Paul College,"Saint Paul, MN",2-year,Public,Unknown,Urban,Unknown,$12K,Unknown
West Los Angeles College,"Culver City, CA",4-year,Public,Unknown,Urban,Unknown,$12K,Unknown
Murray State College,"Tishomingo, OK",2-year,Public,Small,Rural,Unknown,$12K,Unknown
The Salon Professional Academy Colorado Springs,"Colorado Springs, CO",Less than 2-year,Unknown,Unknown,Urban,Unknown,$12K,Unknown
Cerro Coso Community College,"Ridgecrest, CA",2-year,Public,Unknown,Rural,Unknown,$12K,Unknown
Huntsville Bible College,"Huntsville, AL",4-year,Private,Unknown,Urban,Unknown,$12K,Unknown
Hillsdale Beauty College,"Hillsdale, MI",Less than 2-year,Unknown,Unknown,Rural,Unknown,$12K,Unknown
Coastline Community College,"Fountain Valley, CA",2-year,Public,Medium,Suburban,Unknown,$12K,Unknown
Centralia College,"Centralia, WA",4-year,Public,Unknown,Rural,Unknown,$12K,Unknown
DeVry University: Irving,"Irving, TX",4-year,Private,Small,Suburban,Unknown,$25K,Unknown
West Coast University: Orange County,"Anaheim, CA",4-year,Private,Unknown,Urban,73%,$28K,Unknown
Allstate Hairstyling And Barber College,"Cleveland, OH",Unknown,Unknown,Unknown,Urban,Unknown,$12K,Unknown
Center For Advanced Legal Studies,"Houston, TX",Unknown,Private,Unknown,Urban,Unknown,$12K,Unknown
Lac Courte Oreilles Ojibwe Community College,"Hayward, WI",4-year,Public,Unknown,Rural,Unknown,$12K,Unknown
Pennsylvania Institute of Health and Technology,"Mount Braddock, PA",2-year,Private,Unknown,Suburban,Unknown,$12K,Unknown
Charles Of Italy Beauty College And Massage Therapy School Lake Havasu City,"Lake Havasu City, AZ",Less than 2-year,Unknown,Unknown,Urban,Unknown,$12K,Unknown
Los Angeles Valley College,"Van Nuys, CA",2-year,Public,Unknown,Suburban,Unknown,$12K,Unknown
Los Angeles Trade and Technical College,"Los Angeles, CA",2-year,Public,Unknown,Urban,Unknown,$12K,Unknown
Pillar College,"Newark, NJ",4-year,Private,Unknown,Urban,44%,$22K,Unknown
Monterey Peninsula College,"Monterey, CA",2-year,Public,Unknown,Suburban,Unknown,$12K,Unknown
Faith International University,"Tacoma, WA",4-year,Private,Small,Suburban,17%,$16K,Unknown
Alexander Paul Institute Of Hair Design,"Greenville, NC",Less than 2-year,Unknown,Unknown,Urban,Unknown,$12K,Unknown
Cosmetology Academy Of Texarkana,"Texarkana, TX",Less than 2-year,Unknown,Unknown,Urban,Unknown,$12K,Unknown
Lawrence And Company College Of Cosmetology,"Hanford, CA",Less than 2-year,Unknown,Unknown,Rural,Unknown,$12K,Unknown
Joffrey Ballet School,"New York, NY",Unknown,Unknown,Unknown,Urban,Unknown,$39K,Unknown
Michigan College of Beauty Monroe,"Monroe, MI",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$12K,Unknown
Bell Mar Beauty College,"Cicero, IL",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$12K,Unknown
Paul Mitchell the School Columbia,"West Columbia, SC",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$12K,Unknown
Paradise Valley Community College,"Phoenix, AZ",2-year,Public,Unknown,Urban,Unknown,$12K,Unknown
Anoka Technical College,"Anoka, MN",2-year,Public,Medium,Suburban,Unknown,$12K,Unknown
Lorenzo Walker Technical College,"Naples, FL",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$12K,Unknown
Briar Cliff University,"Sioux City, IA",4-year,Private,Unknown,Suburban,43%,$22K,Unknown
Iowa School of Beauty Sioux City,"Sioux City, IA",Unknown,Unknown,Unknown,Urban,Unknown,$12K,Unknown
Carteret Community College,"Morehead City, NC",2-year,Public,Unknown,Rural,Unknown,$12K,Unknown
Connors State College,"Warner, OK",2-year,Public,Unknown,Rural,Unknown,$12K,Unknown
Trinidad State College,"Trinidad, CO",4-year,Public,Unknown,Rural,Unknown,$12K,Unknown
Mystros Barber Academy,"Houston, TX",Less than 2-year,Unknown,Unknown,Urban,Unknown,$12K,Unknown
American University of Beirut,"Beirut, Lebanon",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown
Felbry College School Of Nursing,"Columbus, OH",4-year,Private,Unknown,Urban,Unknown,$45K,Unknown
Central Lakes College Brainerd,"Brainerd, MN",2-year,Public,Unknown,Suburban,Unknown,$12K,Unknown
Westchester School Of Beauty Culture,"Mount Vernon, NY",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$12K,Unknown
Northwest Iowa Community College,"Sheldon, IA",2-year,Public,Unknown,Rural,Unknown,$12K,Unknown
Drury University College Of Continuing Professional Studies,"Springfield, MO",4-year,Private,Unknown,Urban,11%,$15K,Unknown
Mesa Community College,"Mesa, AZ",2-year,Public,Very Large,Urban,Unknown,$12K,Unknown
Paul Mitchell the School Great Lakes,"Port Huron, MI",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$12K,Unknown
Jenny Lea Academy Of Cosmetology,"Johnson City, TN",Less than 2-year,Unknown,Unknown,Urban,Unknown,$12K,Unknown
Northwest Kansas Technical College,"Goodland, KS",2-year,Public,Unknown,Rural,Unknown,$12K,Unknown
Colorado Technical University,"Colorado Springs, CO",4-year,Private,Unknown,Suburban,17%,$16K,Unknown
Hair Professionals Career College Palos Hills,"Palos Hills, IL",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$12K,Unknown
Mendocino College,"Ukiah, CA",2-year,Public,Unknown,Rural,Unknown,$12K,Unknown
West Hills College: Lemoore,"Lemoore, CA",2-year,Public,Unknown,Rural,Unknown,$12K,Unknown
Bryant & Stratton College: Virginia Beach,"Virginia Beach, VA",4-year,Private,Small,Suburban,Unknown,$12K,Unknown
Terra State Community College,"Fremont, OH",2-year,Public,Unknown,Rural,Unknown,$13K,Unknown
California College Of Barbering And Cosmetology,"Stockton, CA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
East Los Angeles College,"Monterey Park, CA",2-year,Public,Unknown,Urban,Unknown,$13K,Unknown
Remington College: Greenspoint Campus,"Houston, TX",4-year,Private,Unknown,Urban,50%,$24K,Unknown
American Baptist College,"Nashville, TN",4-year,Private,Unknown,Urban,22%,$17K,Unknown
Montana Academy Of Salons,"Great Falls, MT",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Career Academy Of Hair Design Springdale,"Springdale, AR",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Sandhills Community College,"Pinehurst, NC",2-year,Public,Unknown,Rural,Unknown,$13K,Unknown
American Beauty Academy Salt Lake,"West Valley City, UT",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Staunton School Of Cosmetology,"Staunton, VA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Creative Images Institute Of Cosmetology South Dayton,"Dayton, OH",Unknown,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Manuel And Theresa's School Of Hair Design Brenham,"Brenham, TX",Less than 2-year,Unknown,Unknown,Rural,Unknown,$13K,Unknown
Montgomery Community College,"Troy, NC",2-year,Public,Unknown,Rural,Unknown,$13K,Unknown
Paul Mitchell the School Merrillville,"Merrillville, IN",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Arthurs Beauty College Jonesboro,"Jonesboro, AR",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
National Beauty College,"Canton, OH",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Interactive College Of Technology Southwest Houston,"Houston, TX",Unknown,Private,Unknown,Urban,Unknown,$13K,Unknown
Lindsey Institute of Cosmetology,"Bowling Green, KY",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Bryant & Stratton College: Albany,"Albany, NY",4-year,Private,Small,Suburban,Unknown,$13K,Unknown
Lake Area Technical College,"Watertown, SD",2-year,Public,Small,Rural,Unknown,$13K,Unknown
The Salon Professional Academy Onalaska,"Onalaska, WI",Unknown,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Luther Rice College and Seminary,"Lithonia, GA",4-year,Private,Small,Suburban,Unknown,Unknown,Unknown
Los Angeles Harbor College,"Wilmington, CA",2-year,Public,Unknown,Suburban,Unknown,$13K,Unknown
Academy Of Salon Professionals,"Sedalia, MO",Less than 2-year,Unknown,Unknown,Rural,Unknown,$13K,Unknown
GateWay Community College,"Phoenix, AZ",2-year,Public,Unknown,Urban,Unknown,$13K,Unknown
College Of Hair Design Downtown,"Lincoln, NE",Unknown,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Academy Of Professional Cosmetology,"Rogers, AR",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Institute Of Advanced Medical Esthetics,"Ashland, VA",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Minneapolis Community and Technical College,"Minneapolis, MN",2-year,Public,Unknown,Urban,Unknown,$13K,Unknown
Pine Technical & Community College,"Pine City, MN",2-year,Public,Unknown,Rural,Unknown,$13K,Unknown
Interactive College Of Technology Morrow,"Morrow, GA",Unknown,Private,Unknown,Suburban,Unknown,$13K,Unknown
Denmark College,"Merrillville, IN",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Modesto Junior College,"Modesto, CA",4-year,Public,Unknown,Suburban,Unknown,$13K,Unknown
Cosmetology Training Center,"Lafayette, LA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Josefs School Of Hair Skin And Body Fargo,"Fargo, ND",Unknown,Unknown,Unknown,Urban,Unknown,$13K,Unknown
New Concept Massage And Beauty School,"Miami, FL",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Salon Professional Academy Saint Charles,"Saint Charles, MO",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Interactive College Of Technology,"Atlanta, GA",Unknown,Private,Unknown,Suburban,Unknown,$13K,Unknown
Rochester Community and Technical College,"Rochester, MN",2-year,Public,Unknown,Urban,Unknown,$13K,Unknown
Bryant & Stratton College: Buffalo,"Buffalo, NY",4-year,Private,Small,Urban,Unknown,$13K,Unknown
Salon Professional Academy Nashville,"Nashville, TN",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Eastern College Of Health Vocations Little Rock,"Little Rock, AR",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Kenneth Shuler School Of Cosmetology Garners Ferry,"Columbia, SC",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Paul Mitchell The School Fresno,"Fresno, CA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Strayer University Greenville,"Greenville, SC",4-year,Private,Unknown,Urban,25%,$19K,Unknown
Los Angeles Mission College,"Sylmar, CA",2-year,Public,Unknown,Suburban,Unknown,$13K,Unknown
Leech Lake Tribal College,"Cass Lake, MN",2-year,Private,Unknown,Rural,Unknown,$13K,Unknown
Beyond 21st Century Beauty Academy,"Santa Fe Springs, CA",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Tricoci University of Beauty Culture Indianapolis,"Indianapolis, IN",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Chandler-Gilbert Community College,"Chandler, AZ",2-year,Public,Medium,Suburban,Unknown,$13K,Unknown
DeVry College of New York: Midtown Campus,"New York, NY",4-year,Private,Small,Urban,19%,$34K,Unknown
Evergreen Beauty And Barber College Shoreline,"Shoreline, WA",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Unlimited Cosmetology School,"Hattiesburg, MS",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Northwest Technical College,"Bemidji, MN",2-year,Public,Unknown,Rural,Unknown,$13K,Unknown
Arthurs Beauty College Conway,"Conway, AR",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Stewart School,"Sioux Falls, SD",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Debutantes School Of Beauty,"Dekalb, IL",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Baptist Missionary Association Theological Seminary,"Jacksonville, TX",4-year,Private,Small,Rural,Unknown,Unknown,Unknown
University of Northern British Columbia,"Prince George, Canada",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Florida Academy,"Fort Myers, FL",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Massage Institute Of Memphis,"Memphis, TN",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Creative Images Institute Of Cosmetology North Dayton,"Dayton, OH",Unknown,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Model College of Hair Design,"Saint Cloud, MN",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Empire Beauty School Chenoweth,"Louisville, KY",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
American InterContinental University Atlanta,"Atlanta, GA",4-year,Private,Unknown,Suburban,10%,$15K,Unknown
Paul Mitchell the School Baton Rouge,"Baton Rouge, LA",Less than 2-year,Private,Unknown,Urban,Unknown,$13K,Unknown
Aiken School Of Cosmetology And Barbering,"Aiken, SC",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Rogers Academy of Hair Design,"Evansville, IN",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Carnegie Mellon University,"Pittsburgh, PA",4-year,Private,Medium,Urban,92%,$33K,Unknown
Guilford Technical Community College,"Jamestown, NC",2-year,Public,Unknown,Urban,Unknown,$13K,Unknown
LaBarberia Institute Of Hair,"Cleveland, OH",Unknown,Unknown,Unknown,Suburban,Unknown,$13K,Unknown
Atelier Esthetique Institute of Esthetics,"New York, NY",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Glen Dow Academy Of Hair Design,"Spokane, WA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Salon Success Academy Riverside,"Riverside, CA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Southwestern College,"Chula Vista, CA",2-year,Public,Unknown,Suburban,Unknown,$13K,Unknown
Paul Mitchell the School Albuquerque,"Albuquerque, NM",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Manuel And Theresa's School Of Hair Design Victoria,"Victoria, TX",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
West Virginia Junior College: Charleston,"Charleston, WV",2-year,Private,Unknown,Urban,Unknown,$13K,Unknown
Pat Goins Benton Road Beauty School,"Shreveport, LA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Hawaii Institute Of Hair Design,"Honolulu, HI",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
Los Angeles Pierce College,"Woodland Hills, CA",2-year,Public,Unknown,Suburban,Unknown,$13K,Unknown
Crawford County Career And Technical Center Practical Nursing Program,"Meadville, PA",Less than 2-year,Unknown,Unknown,Rural,Unknown,$13K,Unknown
Kenneth Shuler School Of Cosmetology Spartanburg,"Spartanburg, SC",Less than 2-year,Unknown,Unknown,Urban,Unknown,$13K,Unknown
"State College of Florida, Manatee-Sarasota","Bradenton, FL",4-year,Public,Medium,Suburban,Unknown,$13K,Unknown
Hair Expressions Academy,"Rockville, MD",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$14K,Unknown
Baton Rouge School of Computers,"Baton Rouge, LA",2-year,Private,Unknown,Suburban,Unknown,$14K,Unknown
Charzanne Beauty College,"Greenwood, SC",Less than 2-year,Unknown,Unknown,Rural,Unknown,$14K,Unknown
Sage School Of Massage And Esthetics,"Bend, OR",Less than 2-year,Unknown,Unknown,Urban,Unknown,$14K,Unknown
Evans Hairstyling College Cedar City,"Cedar City, UT",Unknown,Unknown,Unknown,Rural,Unknown,$14K,Unknown
Textures Institute of Cosmetology,"Indianapolis, IN",Less than 2-year,Unknown,Unknown,Urban,Unknown,$14K,Unknown
Carolina Christian College,"Winston Salem, NC",4-year,Private,Unknown,Urban,Unknown,$14K,Unknown
JNA Institute of Culinary Arts,"Philadelphia, PA",2-year,Private,Unknown,Urban,Unknown,$14K,Unknown
Dayton Barber College,"Miamisburg, OH",Unknown,Unknown,Unknown,Suburban,Unknown,$14K,Unknown
North Country Community College,"Saranac Lake, NY",2-year,Public,Unknown,Rural,Unknown,$14K,Unknown
Diesel Driving Academy Baton Rouge,"Baton Rouge, LA",Less than 2-year,Unknown,Unknown,Urban,Unknown,$14K,Unknown
Bowling Green State University Firelands College,"Huron, OH",4-year,Public,Unknown,Rural,Unknown,$14K,Unknown
International Barber College,"Chandler, AZ",Less than 2-year,Unknown,Unknown,Urban,Unknown,$14K,Unknown
Commonwealth Technical Institute,"Johnstown, PA",2-year,Private,Unknown,Suburban,Unknown,$14K,Unknown
Scottsdale Community College,"Scottsdale, AZ",2-year,Public,Medium,Suburban,Unknown,$14K,Unknown
New York School of Esthetics & Day Spa,"White Plains, NY",Less than 2-year,Unknown,Unknown,Urban,Unknown,$14K,Unknown
Alexandria Technical and Community College,"Alexandria, MN",2-year,Public,Small,Rural,Unknown,$14K,Unknown
Beauty Institute Allentown,"Whitehall, PA",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$14K,Unknown
Tulane University,"New Orleans, LA",4-year,Private,Medium,Urban,87%,$50K,1400-1490
Berkeley City College,"Berkeley, CA",2-year,Public,Unknown,Urban,Unknown,$14K,Unknown
Creative Hair School of Cosmetology,"Flint, MI",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$14K,Unknown
Vet Tech Institute,"Pittsburgh, PA",2-year,Private,Unknown,Urban,Unknown,$14K,Unknown
Fredrick And Charles Beauty College,"Eureka, CA",Less than 2-year,Unknown,Unknown,Rural,Unknown,$14K,Unknown
Cameo Beauty Academy,"Oak Lawn, IL",Less than 2-year,Unknown,Unknown,Suburban,Unknown,$14K,Unknown
Eastern International College,"Jersey City, NJ",4-year,Private,Unknown,Urban,21%,$26K,Unknown
